"Rooms","Type","Price","Distance","Bathroom","Car","Landsize","BuildingArea","YearBuilt","CouncilArea","Lattitude","Longtitude","Regionname","Propertycount"
2,"u",730000,5.6,1,1,498.12097851933,136.001850426439,1977.66069636132,"Boroondara City Council",-37.8094,145.0446,"Southern Metropolitan","10331"
3,"h",1500000,5.6,1,2,857,130,1941,"Boroondara City Council",-37.7981,145.0423,"Southern Metropolitan","10331"
4,"h",1750000,5.6,3,2,641,230,2010,"Boroondara City Council",-37.7982,145.0281,"Southern Metropolitan","10331"
3,"u",1100000,5.6,1,1,0,115,1935,"Boroondara City Council",-37.8087,145.0452,"Southern Metropolitan","10331"
3,"h",1290000,5.6,1,0,321,167.91548573964,1953.81934313068,"Boroondara City Council",-37.8116,145.0285,"Southern Metropolitan","10331"
3,"h",1440000,5.6,1,1,298,130,1900,"Boroondara City Council",-37.8021,145.0391,"Southern Metropolitan","10331"
4,"h",2560000,5.6,3,4,670,346,1990,"Boroondara City Council",-37.8042,145.0279,"Southern Metropolitan","10331"
5,"h",2600000,5.6,2,2,674,281,1959,"Boroondara City Council",-37.8064,145.0608,"Southern Metropolitan","10331"
4,"h",2245000,5.6,3,2,627,236.190316231337,1942.3045686601,"Boroondara City Council",-37.7915,145.0348,"Southern Metropolitan","10331"
5,"h",3280000,5.6,5,2,480,147,1979,"Boroondara City Council",-37.8117,145.0449,"Southern Metropolitan","10331"
3,"t",730000,5.6,2,2,0,136.001850426439,1977.66069636132,"Boroondara City Council",-37.7941,145.0238,"Southern Metropolitan","10331"
2,"h",830000,9.2,1,2,318,143.938235780576,1970.97326617133,"Maribyrnong City Council",-37.7898,144.8817,"Western Metropolitan","3873"
2,"h",1475000,7.4,1,1,232,95,2001,"Stonnington City Council",-37.8686,145.038,"Southern Metropolitan","4675"
2,"u",640000,7.4,2,1,0,125.909558303256,1982.78599104089,"Stonnington City Council",-37.8514,145.0361,"Southern Metropolitan","4675"
2,"u",700000,7.4,1,2,0,132.994464272499,1998,"Stonnington City Council",-37.8597,145.0318,"Southern Metropolitan","4675"
1,"u",315000,11.2,1,1,0,46,1940,"Stonnington City Council",-37.8704,145.0495,"Southern Metropolitan","8801"
3,"h",1297000,11.2,1,1,333,147,1948,"Stonnington City Council",-37.8722,145.067,"Southern Metropolitan","8801"
3,"t",1015000,11.2,2,2,0,134,2013,"Stonnington City Council",-37.8689,145.06,"Southern Metropolitan","8801"
2,"u",523000,11.2,1,1,0,62,1960,"Stonnington City Council",-37.8801,145.0874,"Southern Metropolitan","8801"
3,"h",1335000,11.2,2,2,606,133,1965,"Stonnington City Council",-37.8831,145.0879,"Southern Metropolitan","8801"
3,"h",1055000,11.2,2,1,0,157.37820058098,1959.7858812967,"Stonnington City Council",-37.866,145.0402,"Southern Metropolitan","8801"
2,"u",425000,11.2,1,1,0,57,1997,"Stonnington City Council",-37.8804,145.0501,"Southern Metropolitan","8801"
3,"h",1670000,11.2,2,1,375,155,1920,"Stonnington City Council",-37.8777,145.0608,"Southern Metropolitan","8801"
4,"h",1350000,11.2,3,2,222,90,2010,"Stonnington City Council",-37.878,145.0666,"Southern Metropolitan","8801"
3,"h",907000,8.7,1,2,678,124,1950,"Maribyrnong City Council",-37.769,144.8935,"Western Metropolitan","4918"
2,"u",570000,8.7,2,1,3014,204,2012,"Maribyrnong City Council",-37.7853,144.8944,"Western Metropolitan","4918"
2,"h",1630000,4.1,1,0,152,113,1915,"Port Phillip City Council",-37.8513,144.9586,"Southern Metropolitan","2019"
3,"h",1564000,11.8,2,2,640,117,1950,"Boroondara City Council",-37.8173,145.1123,"Eastern Metropolitan","2079"
2,"u",574000,6.9,2,1,159,116.368987126433,1985.09428160351,"Moonee Valley City Council",-37.7666,144.9184,"Western Metropolitan","6232"
2,"u",470000,6.9,1,1,0,65,2014,"Moonee Valley City Council",-37.7677,144.92,"Western Metropolitan","6232"
3,"t",1130000,6.9,2,2,217,145,2013,"Moonee Valley City Council",-37.7704,144.9162,"Western Metropolitan","6232"
2,"h",1191000,14.6,1,2,756,97,1950,"Kingston City Council",-37.94,145.0449,"Southern Metropolitan","2555"
4,"h",1130000,14.6,1,2,638,161.139247109883,1972,"Kingston City Council",-37.9378,145.057,"Southern Metropolitan","2555"
2,"h",776000,14.6,1,1,209,101,2002,"Kingston City Council",-37.9389,145.0467,"Southern Metropolitan","2555"
2,"u",670000,8.4,1,1,190,129.635968056478,1981.29333498527,"Hobsons Bay City Council",-37.8433,144.8725,"Western Metropolitan","5498"
3,"h",1040000,8.4,1,2,595,156.581662222163,1960.2497878796,"Hobsons Bay City Council",-37.8394,144.8669,"Western Metropolitan","5498"
4,"h",1316000,8.4,2,3,539,168.9240342292,2000,"Hobsons Bay City Council",-37.8366,144.8773,"Western Metropolitan","5498"
2,"h",816000,8.4,1,1,315,104,1930,"Hobsons Bay City Council",-37.8465,144.8714,"Western Metropolitan","5498"
4,"h",1245000,11.2,3,3,0,225,1950,"Moonee Valley City Council",-37.7386,144.8902,"Western Metropolitan","2291"
3,"h",1155000,11.2,2,3,653,162.305067494265,1957.41945147547,"Moonee Valley City Council",-37.7396,144.8887,"Western Metropolitan","2291"
3,"u",746000,11.2,1,1,256,137.468155820694,1976.5898794475,"Moonee Valley City Council",-37.741,144.8901,"Western Metropolitan","2291"
2,"u",665500,2.3,2,1,0,96,2012,"Melbourne City Council",-37.8009,144.9471,"Northern Metropolitan","6821"
2,"u",550055,2.3,1,2,1004,65,1971,"Melbourne City Council",-37.7926,144.9441,"Northern Metropolitan","6821"
1,"u",358000,2.3,1,1,649,43,1970,"Melbourne City Council",-37.7971,144.9448,"Northern Metropolitan","6821"
1,"u",320000,2.3,1,1,0,45,1975,"Melbourne City Council",-37.7955,144.9492,"Northern Metropolitan","6821"
3,"t",1000000,2.3,2,1,61,170,1920,"Melbourne City Council",-37.8039,144.9424,"Northern Metropolitan","6821"
2,"u",598000,2.3,1,1,0,85,2005,"Melbourne City Council",-37.8044,144.9566,"Northern Metropolitan","6821"
3,"h",2160000,5.5,2,1,338,90,1920,"Darebin City Council",-37.7757,145.0119,"Northern Metropolitan","11364"
3,"h",1610000,5.5,1,2,501,184.027561881919,1946.65733090066,"Darebin City Council",-37.7771,145.0116,"Northern Metropolitan","11364"
1,"u",400000,5.5,1,1,0,43,2014,"Darebin City Council",-37.7831,145.0124,"Northern Metropolitan","11364"
3,"u",550000,11.5,1,1,196,112.45277575135,1985.53184447753,"Moreland City Council",-37.7216,144.9157,"Northern Metropolitan","2651"
3,"h",850500,14.7,1,2,531,118,1962,"Kingston City Council",-37.9303,145.082,"South-Eastern Metropolitan","3692"
2,"u",625000,14.7,1,1,204,123.904370456726,1983.43763627395,"Kingston City Council",-37.9107,145.0891,"South-Eastern Metropolitan","3692"
3,"h",980500,14.7,2,2,727,153.305541518578,1962.57411291764,"Kingston City Council",-37.9187,145.1098,"South-Eastern Metropolitan","3692"
3,"h",1068000,14.7,2,2,609,172,1970,"Kingston City Council",-37.9213,145.0854,"South-Eastern Metropolitan","3692"
1,"u",500000,2.6,1,1,2431,103.66235967977,1985.73915275845,"Melbourne City Council",-37.7821,144.9576,"Northern Metropolitan","2309"
3,"u",1403000,2.6,2,2,2401,132,1980,"Melbourne City Council",-37.7818,144.9576,"Northern Metropolitan","2309"
3,"t",600000,9.9,2,1,122,139,1998,"Moreland City Council",-37.7231,144.9373,"Northern Metropolitan","7485"
3,"h",721000,9.9,1,2,542,135.13548152721,1978.24848667908,"Moreland City Council",-37.7189,144.9367,"Northern Metropolitan","7485"
2,"h",720000,9.9,1,1,428,135.037346594184,1978.31299898793,"Moreland City Council",-37.7333,144.9384,"Northern Metropolitan","7485"
4,"h",910000,9.9,2,0,934,149.131483527929,1966.15863830855,"Moreland City Council",-37.7232,144.923,"Northern Metropolitan","7485"
2,"h",1570000,9.9,1,1,746,265,1950,"Moreland City Council",-37.7304,144.9496,"Northern Metropolitan","7485"
3,"u",2460000,3.8,2,2,5042,102,1995,"Melbourne City Council",-37.8405,144.9319,"Southern Metropolitan","8648"
1,"u",540000,3.8,1,1,0,110.758283328034,2000,"Melbourne City Council",-37.8429,144.9449,"Southern Metropolitan","8648"
3,"h",3705000,3.8,2,2,214,241,2014,"Melbourne City Council",-37.8341,144.9458,"Southern Metropolitan","8648"
2,"h",1180000,3.8,1,1,347,163.420652707373,1956.87490741304,"Melbourne City Council",-37.8366,144.9225,"Southern Metropolitan","8648"
3,"t",950000,3.8,2,2,0,134,2012,"Melbourne City Council",-37.8317,144.9446,"Southern Metropolitan","8648"
3,"h",1350000,3.8,1,1,114,138,1990,"Melbourne City Council",-37.8371,144.939,"Southern Metropolitan","8648"
3,"h",2100000,3.8,2,1,170,223.589199436894,1945.01206156209,"Melbourne City Council",-37.835,144.943,"Southern Metropolitan","8648"
2,"u",735000,3.8,1,1,0,100,2000,"Melbourne City Council",-37.8424,144.9449,"Southern Metropolitan","8648"
3,"h",2385000,4.5,2,2,217,248.483839591089,1900,"Stonnington City Council",-37.8523,145.0064,"Southern Metropolitan","7717"
2,"u",681000,4.5,2,1,0,95,1995,"Stonnington City Council",-37.8598,145.0097,"Southern Metropolitan","7717"
4,"h",1820000,4.5,1,1,305,199.787979502867,1920,"Stonnington City Council",-37.8493,144.9873,"Southern Metropolitan","7717"
2,"h",1305000,4.5,1,1,131,79,1900,"Stonnington City Council",-37.8479,144.9988,"Southern Metropolitan","7717"
3,"h",1150000,8.8,1,4,728,162.075684188373,1957.52544522097,"Darebin City Council",-37.7392,144.9937,"Northern Metropolitan","14577"
4,"h",871000,8.8,2,1,561,150,1950,"Darebin City Council",-37.7369,145.0201,"Northern Metropolitan","14577"
4,"h",910000,8.8,1,3,577,149.131483527929,1966.15863830855,"Darebin City Council",-37.7344,144.9865,"Northern Metropolitan","14577"
3,"h",1330000,8.8,2,3,502,169.476314145356,1952.63843219298,"Darebin City Council",-37.7406,145.0155,"Northern Metropolitan","14577"
4,"h",950000,8.8,2,1,243,140,2005,"Darebin City Council",-37.7506,144.9847,"Northern Metropolitan","14577"
3,"h",821000,8.8,1,2,396,143.314853863897,1971.56169523089,"Darebin City Council",-37.7385,145.0103,"Northern Metropolitan","14577"
3,"h",888500,8.8,1,2,497,147.780829986398,1967.36616004344,"Darebin City Council",-37.7441,145.0154,"Northern Metropolitan","14577"
4,"h",870000,8.8,1,2,400,117,1890,"Darebin City Council",-37.7346,145.0164,"Northern Metropolitan","14577"
3,"h",751000,11.2,1,2,604,137.907432224438,1940,"Darebin City Council",-37.723,145.0024,"Northern Metropolitan","21650"
3,"h",851000,11.2,1,1,826,101,1960,"Darebin City Council",-37.7013,145.0244,"Northern Metropolitan","21650"
3,"h",777000,11.2,1,2,480,140.059687844583,1974.48790398442,"Darebin City Council",-37.7265,144.9918,"Northern Metropolitan","21650"
4,"h",1162000,11.2,3,4,695,162.622842433002,1957.27009748644,"Darebin City Council",-37.7264,145.0198,"Northern Metropolitan","21650"
3,"h",620000,11.2,1,2,653,123.214718637475,1983.63990363823,"Darebin City Council",-37.7108,145.0156,"Northern Metropolitan","21650"
3,"h",1025000,11.2,1,4,670,134,1935,"Darebin City Council",-37.7242,145.0154,"Northern Metropolitan","21650"
3,"h",762500,11.2,1,2,677,138.885460522475,1975.46879014875,"Darebin City Council",-37.7101,144.9999,"Northern Metropolitan","21650"
3,"h",832000,11.2,1,2,496,144.075238947747,1970.84323904765,"Darebin City Council",-37.7263,145.0003,"Northern Metropolitan","21650"
5,"h",820000,11.2,2,2,737,150,1971.62737658021,"Darebin City Council",-37.7306,145.0242,"Northern Metropolitan","21650"
3,"h",1350000,2.6,2,2,133,174,2000,"Yarra City Council",-37.8183,145.0079,"Northern Metropolitan","14949"
3,"h",1405000,2.6,1,2,212,172.68350985104,1950.7654899701,"Yarra City Council",-37.8302,144.9993,"Northern Metropolitan","14949"
1,"u",362000,2.6,1,1,0,76.8626267320772,1981.03281069455,"Yarra City Council",-37.8127,145.0094,"Northern Metropolitan","14949"
2,"u",760000,2.6,1,1,0,138.676545775097,1975.63873258682,"Yarra City Council",-37.833,144.997,"Northern Metropolitan","14949"
2,"u",807000,2.6,2,2,0,106,2000,"Yarra City Council",-37.8128,145.0139,"Northern Metropolitan","14949"
3,"h",1495000,2.6,2,1,159,177.193522936983,1948.84581808558,"Yarra City Council",-37.8195,144.9974,"Northern Metropolitan","14949"
3,"h",1410000,2.6,1,0,224,172.914284648453,1950.65208601,"Yarra City Council",-37.8199,145.0017,"Northern Metropolitan","14949"
1,"u",385000,2.6,1,1,0,50,2005,"Yarra City Council",-37.8331,144.9975,"Northern Metropolitan","14949"
2,"h",1150000,2.6,1,0,156,80,1900,"Yarra City Council",-37.8209,145.0052,"Northern Metropolitan","14949"
3,"h",1400000,2.6,1,2,0,172.454821825666,1950.87991866467,"Yarra City Council",-37.8211,145.0114,"Northern Metropolitan","14949"
4,"h",1775000,2.6,1,0,434,144,1900,"Yarra City Council",-37.8185,145.0061,"Northern Metropolitan","14949"
1,"u",360000,2.6,1,1,1332,76.4631596591301,1980.9181384672,"Yarra City Council",-37.8181,144.9901,"Northern Metropolitan","14949"
3,"h",1270000,2.6,1,1,152,92,1910,"Yarra City Council",-37.8219,145.0096,"Northern Metropolitan","14949"
2,"u",618000,11.4,1,1,151,96,1980,"Banyule City Council",-37.7458,145.0609,"Eastern Metropolitan","3540"
4,"h",1720000,11.4,4,2,1215,191.805287350343,1945.5521248791,"Banyule City Council",-37.7387,145.0729,"Eastern Metropolitan","3540"
1,"u",320000,2.1,1,0,0,68.4715034679,1978.52461048986,"Port Phillip City Council",-37.8341,144.9713,"Southern Metropolitan","5943"
3,"u",742000,2.1,2,2,0,90,2003,"Port Phillip City Council",-37.8319,144.9682,"Southern Metropolitan","5943"
3,"h",2075000,2.1,2,0,141,163,1890,"Port Phillip City Council",-37.8333,144.9576,"Southern Metropolitan","5943"
3,"h",2525000,2.1,2,1,234,259.649417207895,1863,"Port Phillip City Council",-37.8355,144.9663,"Southern Metropolitan","5943"
2,"u",470000,3.3,1,1,0,98.0642227657902,1970,"Melbourne City Council",-37.845,145.0001,"Southern Metropolitan","14887"
2,"u",621500,3.3,1,1,0,123.422735430968,1983.58004453095,"Melbourne City Council",-37.835,144.9905,"Southern Metropolitan","14887"
4,"h",2667000,3.3,3,2,446,267.290896673182,1900,"Melbourne City Council",-37.8454,144.9989,"Southern Metropolitan","14887"
3,"h",2200000,3.3,2,0,358,238,1915,"Melbourne City Council",-37.8425,145.0031,"Southern Metropolitan","14887"
3,"h",1700000,3.3,1,1,178,172,1894,"Melbourne City Council",-37.8404,145.0022,"Southern Metropolitan","14887"
3,"h",1070000,7.7,1,2,526,127,1950,"Hobsons Bay City Council",-37.8267,144.8779,"Western Metropolitan","1223"
2,"u",500000,6.1,2,2,0,104,2000,"Port Phillip City Council",-37.859,144.9767,"Southern Metropolitan","13240"
1,"u",220000,6.1,0.978219230625493,0.811656913549174,334.009051503217,48.5800067333167,1972.34519849159,"Port Phillip City Council",-37.8646,144.9871,"Southern Metropolitan","13240"
1,"u",400000,6.1,1.1138300211798,1.1564171813775,404.016635993691,84.4325005615479,1983.04492531834,"Port Phillip City Council",-37.864,144.9826,"Southern Metropolitan","13240"
4,"h",4750000,6.1,3,5,648,341.022870735825,1938.57934868287,"Port Phillip City Council",-37.8724,144.9767,"Southern Metropolitan","13240"
2,"u",888000,6.1,1.54023399952882,1.74625806649068,513.209371503851,147.749078690973,1967.39496100273,"Port Phillip City Council",-37.8581,144.9854,"Southern Metropolitan","13240"
2,"u",760000,6.1,1,0,0,95,1930,"Port Phillip City Council",-37.8718,144.9776,"Southern Metropolitan","13240"
3,"u",720000,6.1,1,1,0,135.037346594184,1978.31299898793,"Port Phillip City Council",-37.8612,144.985,"Southern Metropolitan","13240"
1,"u",461000,6.1,1,1,0,96.3489888834923,1985.20043442337,"Port Phillip City Council",-37.8571,144.987,"Southern Metropolitan","13240"
2,"u",580000,6.1,1,1,1155,102,1995,"Port Phillip City Council",-37.8568,144.9873,"Southern Metropolitan","13240"
4,"h",895000,12.6,2,3,430,144,1945,"Brimbank City Council",-37.7939,144.8283,"Western Metropolitan","3755"
3,"h",762500,12.6,1,1,510,138.885460522475,1975.46879014875,"Brimbank City Council",-37.7903,144.8387,"Western Metropolitan","3755"
2,"h",702000,12.6,1,0,611,133.205702247685,1979.44399188197,"Brimbank City Council",-37.783,144.8405,"Western Metropolitan","3755"
4,"h",705000,13.5,2,4,759,198,1975,"Brimbank City Council",-37.7951,144.8213,"Western Metropolitan","6763"
3,"h",486000,13.5,1,2,539,101.074951930749,1985.61984387593,"Brimbank City Council",-37.7963,144.8046,"Western Metropolitan","6763"
4,"h",645000,13.5,2,3,616,215,1970,"Brimbank City Council",-37.7904,144.7999,"Western Metropolitan","6763"
3,"h",530000,13.5,1,1,623,109.030028568798,1985.72921819179,"Brimbank City Council",-37.8004,144.8138,"Western Metropolitan","6763"
3,"h",500000,13.5,1,2,627,109,1970,"Brimbank City Council",-37.8023,144.8227,"Western Metropolitan","6763"
2,"u",600000,11.2,1,2,124,80,1985,"Boroondara City Council",-37.8159,145.0902,"Southern Metropolitan","5457"
3,"h",2180000,11.2,1,2,441,128,1910,"Boroondara City Council",-37.8204,145.0887,"Southern Metropolitan","5457"
4,"h",2760000,11.2,2,4,924,270.324375955796,1920,"Boroondara City Council",-37.8168,145.1011,"Southern Metropolitan","5457"
3,"h",1220000,13.8,1,2,720,133,1960,"Manningham City Council",-37.7668,145.1086,"Eastern Metropolitan","5420"
4,"h",1222000,13.8,2,4,732,165.192480761246,1955.84395739176,"Manningham City Council",-37.7704,145.1247,"Eastern Metropolitan","5420"
3,"h",2025000,13.8,1,2,796,217.199622530377,1945.63828584782,"Manningham City Council",-37.7726,145.1149,"Eastern Metropolitan","5420"
4,"h",1650000,13.8,2,2,673,280,2005,"Manningham City Council",-37.7647,145.1186,"Eastern Metropolitan","5420"
4,"h",1182500,13.8,2,2,650,150,1975,"Manningham City Council",-37.7764,145.1216,"Eastern Metropolitan","5420"
4,"h",1020000,13.8,2,2,652,145,1965,"Manningham City Council",-37.7557,145.0957,"Eastern Metropolitan","5420"
3,"h",1370000,6.5,2,3,417,153,1930,"Darebin City Council",-37.7602,145.0084,"Northern Metropolitan","8870"
1,"u",303500,6.5,1,1,0,41,1970,"Darebin City Council",-37.7542,145.01,"Northern Metropolitan","8870"
3,"h",1160000,6.5,2,2,644,149,2001,"Darebin City Council",-37.7604,145.021,"Northern Metropolitan","8870"
2,"u",870000,4.6,2,2,512.136568603425,146.595530006513,1968.45600648403,"Stonnington City Council",-37.849,145.0215,"Southern Metropolitan","7217"
3,"t",910000,4.6,2,2,0,136,1980,"Stonnington City Council",-37.842,145.0046,"Southern Metropolitan","7217"
2,"u",342500,14.9,1,1,0,72.9665214906292,1979.89051587157,"Banyule City Council",-37.7167,145.0807,"Northern Metropolitan","2329"
4,"h",2255000,8,1,3,765,257,1880,"Hobsons Bay City Council",-37.8621,144.8999,"Western Metropolitan","6380"
4,"h",1860000,8,2,0,199,242,1945.08066143287,"Hobsons Bay City Council",-37.8615,144.9023,"Western Metropolitan","6380"
3,"h",1710000,8,2,1,260,170,2016,"Hobsons Bay City Council",-37.8671,144.9001,"Western Metropolitan","6380"
4,"h",2440000,8,3,3,500,278,2005,"Hobsons Bay City Council",-37.8638,144.8798,"Western Metropolitan","6380"
3,"h",1225000,8.9,1,1,311,126,1920,"Hobsons Bay City Council",-37.8546,144.8762,"Western Metropolitan","802"
2,"h",1350000,5.1,1,2,181,170.286542667461,1952.09835580816,"Port Phillip City Council",-37.8549,145.0006,"Southern Metropolitan","4380"
3,"h",800000,15,2,2,660,141.809959847846,1972.95063341848,"Banyule City Council",-37.7285,145.0845,"Northern Metropolitan","1369"
3,"h",1380000,7,2,2,235,144,1910,"Maribyrnong City Council",-37.815,144.8928,"Western Metropolitan","6543"
3,"h",966000,7,2,2,456,152.477938485129,1970,"Maribyrnong City Council",-37.823,144.8768,"Western Metropolitan","6543"
2,"u",480500,7,1,1,0,65,1970,"Maribyrnong City Council",-37.8182,144.8846,"Western Metropolitan","6543"
4,"h",1520000,7,2,0,261,160,1910,"Maribyrnong City Council",-37.8123,144.8888,"Western Metropolitan","6543"
3,"h",845000,7,1,2,494,144.953670941975,1970.00650460939,"Maribyrnong City Council",-37.8234,144.8742,"Western Metropolitan","6543"
5,"h",1287000,7,2,2,488,213,1930,"Maribyrnong City Council",-37.8131,144.8778,"Western Metropolitan","6543"
2,"u",373000,9.1,1,1,0,79.0585743170585,1981.65070145227,"Moonee Valley City Council",-37.7553,144.8996,"Western Metropolitan","1543"
2,"h",670000,9.1,1,2,0,103,1990,"Moonee Valley City Council",-37.76,144.9002,"Western Metropolitan","1543"
3,"h",1600000,4.5,1,2,812,113,1920,"Moreland City Council",-37.7673,144.9782,"Northern Metropolitan","5533"
3,"h",1325000,4.5,2,2,190,135,1940,"Moreland City Council",-37.7684,144.9739,"Northern Metropolitan","5533"
2,"u",585000,1.8,1,1,0,118.087298190158,1984.81843936201,"Melbourne City Council",-37.7985,144.9745,"Northern Metropolitan","6786"
4,"h",1162000,1.8,1,0,121,162.622842433002,1957.27009748644,"Melbourne City Council",-37.7967,144.9724,"Northern Metropolitan","6786"
4,"h",655000,12.4,1,3,664,127.819712983765,1982.07097110114,"Hume City Council",-37.7063,144.9712,"Northern Metropolitan","5070"
3,"h",652500,12.4,1,1,592,113,1960,"Hume City Council",-37.6968,144.9674,"Northern Metropolitan","5070"
2,"u",500000,7.5,1,1,3084,103.66235967977,1985.73915275845,"Boroondara City Council",-37.8414,145.0505,"Southern Metropolitan","6482"
2,"u",622000,7.5,1,1,0,123.491860612961,1970,"Boroondara City Council",-37.8318,145.0448,"Southern Metropolitan","6482"
3,"h",1650000,7.5,1,1,354,115,1900,"Boroondara City Council",-37.8225,145.0551,"Southern Metropolitan","6482"
3,"h",1400000,10.6,1,1,827,109,1952,"Banyule City Council",-37.748,145.0625,"Eastern Metropolitan","2890"
3,"h",495000,14.5,1,2,598,92,1965,"Hume City Council",-37.6878,144.9112,"Northern Metropolitan","851"
3,"h",690000,12.4,1,2,556,131.914790397289,1980.16426408517,"Darebin City Council",-37.7174,145.0361,"Northern Metropolitan","1414"
4,"t",1200000,12.1,3,2,297,164.275548149848,1956.40524231729,"Glen Eira City Council",-37.895,145.0749,"Southern Metropolitan","4442"
3,"h",1090000,12.1,2,2,553,138,1960,"Glen Eira City Council",-37.9031,145.0668,"Southern Metropolitan","4442"
1,"u",447000,11.8,1,1,0,93.6545091603508,1984.84623163552,"Glen Eira City Council",-37.9016,145.0414,"Southern Metropolitan","3578"
2,"h",1177000,11.8,1,2,452,105,1930,"Glen Eira City Council",-37.9024,145.0539,"Southern Metropolitan","3578"
2,"u",262500,8.2,1,1,0,57.0142152275816,1974.96493025724,"Maribyrnong City Council",-37.796,144.8634,"Western Metropolitan","5058"
2,"h",450000,8.2,1,1,0,90,1980,"Maribyrnong City Council",-37.7956,144.8762,"Western Metropolitan","5058"
3,"h",935000,8.2,2,3,466,150.658686663882,1940,"Maribyrnong City Council",-37.8019,144.8663,"Western Metropolitan","5058"
4,"h",830000,8.2,2,1,665,143.938235780576,1960,"Maribyrnong City Council",-37.8107,144.8666,"Western Metropolitan","5058"
3,"h",760000,13.9,1,2,534,138.676545775097,1975.63873258682,"Brimbank City Council",-37.7789,144.8209,"Western Metropolitan","2185"
3,"h",840000,13.9,1,0,697,153,1920,"Brimbank City Council",-37.7809,144.8228,"Western Metropolitan","2185"
3,"h",1225000,14,1,2,528,112,1930,"Monash City Council",-37.9066,145.088,"Southern Metropolitan","3224"
4,"h",1925000,7.4,2,3,485,208.633444360069,1945.24485526471,"Port Phillip City Council",-37.8754,144.9944,"Southern Metropolitan","821"
3,"h",1300000,2.5,1,1,326,100,1890,"Yarra City Council",-37.8283,144.9946,"Northern Metropolitan","1123"
3,"t",855000,9.1,2,2,337,145.616902395759,1969.37581593544,"Hobsons Bay City Council",-37.8288,144.8681,"Western Metropolitan","984"
4,"t",600000,14.5,2,1,231,146,2013,"Brimbank City Council",-37.7263,144.8584,"Western Metropolitan","1119"
3,"h",575000,14.5,1,1,338,107,1960,"Brimbank City Council",-37.7212,144.8545,"Western Metropolitan","1119"
3,"h",1700000,3.7,1,2,341,190.301531183721,1945.70109880683,"Yarra City Council",-37.7832,144.9655,"Northern Metropolitan","1008"
2,"h",1480000,2.5,1,1,202,176.388059556298,1949.15809771706,"Yarra City Council",-37.7996,144.9984,"Northern Metropolitan","4019"
3,"h",730000,13.5,2,1,0,145,1965,"Moonee Valley City Council",-37.7203,144.8755,"Western Metropolitan","3464"
5,"h",1525000,13.8,3,3,729,268,2005,"Hobsons Bay City Council",-37.8721,144.8105,"Western Metropolitan","5301"
2,"u",550000,6.3,1,0,861,112.45277575135,1985.53184447753,"Stonnington City Council",-37.8539,145.0284,"Southern Metropolitan","4836"
3,"u",995000,6.3,2,2,0,100,1998,"Stonnington City Council",-37.8552,145.016,"Southern Metropolitan","4836"
3,"t",1205000,6.3,2,2,101,105,2000,"Stonnington City Council",-37.854,145.0135,"Southern Metropolitan","4836"
3,"h",1939000,6.3,2,2,296,150,1889,"Stonnington City Council",-37.8614,145.0274,"Southern Metropolitan","4836"
1,"u",421500,6.3,1,0,0,88.679182323757,1983.98229131387,"Stonnington City Council",-37.853,145.0167,"Southern Metropolitan","4836"
3,"h",940000,5.9,1,2,298,108,1920,"Moonee Valley City Council",-37.7777,144.9195,"Western Metropolitan","6567"
2,"u",467000,5.9,1,1,0,62,1980,"Moonee Valley City Council",-37.7761,144.9201,"Western Metropolitan","6567"
3,"h",1670000,11,2,2,599,220,1930,"Boroondara City Council",-37.8673,145.0688,"Southern Metropolitan","3052"
3,"t",955000,11,2,2,203,151.840791360972,1963.79397851695,"Boroondara City Council",-37.8655,145.0807,"Southern Metropolitan","3052"
3,"t",2050000,11,3,4,310,315,2014,"Boroondara City Council",-37.874,145.0714,"Southern Metropolitan","3052"
3,"h",1250000,12.2,1,1,842,166.335630185263,1955.05298811665,"Monash City Council",-37.867,145.1092,"Southern Metropolitan","2894"
3,"t",851000,10.5,3,1,557,181,2017,"Moonee Valley City Council",-37.77,144.8572,"Western Metropolitan","4502"
2,"u",410000,6.6,1,2,0,61,1965,"Port Phillip City Council",-37.8731,144.9958,"Southern Metropolitan","2952"
3,"u",1070000,9.7,2,2,206,112,1998,"Boroondara City Council",-37.8161,145.0812,"Southern Metropolitan","5682"
5,"h",2570000,9.7,3,2,715,420,2009,"Boroondara City Council",-37.8028,145.0768,"Southern Metropolitan","5682"
4,"h",2400000,9.7,2,2,744,226,1985,"Boroondara City Council",-37.8147,145.0748,"Southern Metropolitan","5682"
3,"h",2200000,9.7,3,2,651,266,1943.08528789357,"Boroondara City Council",-37.8085,145.0764,"Southern Metropolitan","5682"
5,"h",3250000,9.7,5,2,651,410,1947.3419373402,"Boroondara City Council",-37.8071,145.0908,"Southern Metropolitan","5682"
2,"u",806000,9.7,1,1,122,97,1977,"Boroondara City Council",-37.8124,145.0916,"Southern Metropolitan","5682"
6,"h",4000000,9.7,4,7,2051,449,1935,"Boroondara City Council",-37.8051,145.1016,"Southern Metropolitan","5682"
2,"h",1215000,9.7,2,2,0,164.902605453323,1956.02766092275,"Boroondara City Council",-37.8134,145.0972,"Southern Metropolitan","5682"
5,"h",2250000,9.7,3,2,600,356,2006,"Boroondara City Council",-37.8061,145.0801,"Southern Metropolitan","5682"
7,"h",1350000,9.2,2,0,942,170.286542667461,1952.09835580816,"Boroondara City Council",-37.7923,145.1029,"Southern Metropolitan","7809"
4,"h",1905000,9.2,2,2,647,185,1955,"Boroondara City Council",-37.7917,145.0868,"Southern Metropolitan","7809"
